customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
23.0,22,65000.0,RENT,4.0,EDUCATION,C,34000.0,17.58,10,N,4,DEFAULT
24.0,24,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,4,Y,3,NO DEFAULT
25.0,22,80000.0,RENT,3.0,PERSONAL,C,33950.0,14.54,10,Y,4,DEFAULT
26.0,24,67746.0,RENT,8.0,HOMEIMPROVEMENT,B,33000.0,12.68,10,N,3,DEFAULT
27.0,21,11000.0,MORTGAGE,3.0,VENTURE,D,4575.0,17.74,1,Y,3,DEFAULT
28.0,23,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,3,Unknown,3,NO DEFAULT
29.0,24,65000.0,RENT,6.0,HOMEIMPROVEMENT,A,32500.0,9.99,10,Unknown,3,NO DEFAULT
30.0,21,11389.0,OTHER,5.0,EDUCATION,B,4000.0,12.84,1,Y,2,DEFAULT
31.0,21,11520.0,OWN,5.0,MEDICAL,A,2000.0,11.12,1,N,3,DEFAULT
32.0,25,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,10,Unknown,2,NO DEFAULT
33.0,26,95000.0,RENT,7.0,HOMEIMPROVEMENT,B,31050.0,14.17,10,Y,3,DEFAULT
34.0,25,306000.0,RENT,2.0,DEBTCONSOLIDATION,B,24250.0,13.85,10,Unknown,3,NO DEFAULT
35.0,26,300000.0,MORTGAGE,10.0,MEDICAL,B,7800.0,13.49,6,Unknown,4,NO DEFAULT
36.0,21,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,N,4,DEFAULT
37.0,22,48000.0,RENT,1.0,EDUCATION,D,30000.0,18.39,10,N,2,DEFAULT
38.0,24,64000.0,RENT,8.0,DEBTCONSOLIDATION,C,30000.0,14.54,10,Y,3,DEFAULT
39.0,25,75000.0,RENT,4.0,HOMEIMPROVEMENT,C,30000.0,16.89,10,Y,4,DEFAULT
41.0,26,62050.0,RENT,6.0,MEDICAL,D,30000.0,17.99,10,N,2,DEFAULT
42.0,24,12000.0,OWN,4.0,VENTURE,A,2500.0,12.69,4,N,3,DEFAULT
43.0,26,300000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,10,Unknown,4,NO DEFAULT
44.0,23,300000.0,OWN,1.0,EDUCATION,E,24250.0,19.41,10,Y,2,NO DEFAULT
45.0,26,300000.0,OWN,9.0,HOMEIMPROVEMENT,A,10000.0,10.38,6,Unknown,4,NO DEFAULT
46.0,26,300000.0,MORTGAGE,0.0,EDUCATION,C,25000.0,15.33,10,Unknown,3,NO DEFAULT
47.0,25,300000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,18000.0,16.45,10,Unknown,3,NO DEFAULT
48.0,26,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,10,Unknown,3,NO DEFAULT
49.0,22,66300.0,RENT,4.0,MEDICAL,A,30000.0,12.69,10,Unknown,3,NO DEFAULT
50.0,26,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,10,Unknown,3,NO DEFAULT
52.0,23,78000.0,RENT,7.0,DEBTCONSOLIDATION,E,30000.0,18.62,10,Y,3,DEFAULT
53.0,23,92004.0,RENT,6.0,PERSONAL,B,30000.0,15.23,10,Y,3,DEFAULT
54.0,23,97000.0,RENT,7.0,VENTURE,A,30000.0,10.65,10,Y,2,NO DEFAULT
55.0,25,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,10,Unknown,4,NO DEFAULT
56.0,26,280000.0,RENT,4.0,PERSONAL,B,10000.0,15.96,6,Y,3,NO DEFAULT
57.0,26,277104.0,RENT,0.0,VENTURE,A,20000.0,11.48,10,Unknown,3,NO DEFAULT
59.0,25,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,10,Unknown,4,NO DEFAULT
61.0,21,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,10,Unknown,4,NO DEFAULT
62.0,22,275000.0,OWN,6.0,VENTURE,A,12000.0,11.58,10,Unknown,2,NO DEFAULT
64.0,25,221850.0,MORTGAGE,9.0,MEDICAL,C,25000.0,15.7,10,N,2,DEFAULT
65.0,22,70000.0,RENT,6.0,EDUCATION,C,29100.0,15.99,10,N,3,DEFAULT
66.0,22,12000.0,MORTGAGE,7.0,EDUCATION,C,1500.0,14.84,2,Y,3,NO DEFAULT
67.0,26,260000.0,OWN,10.0,HOMEIMPROVEMENT,A,28000.0,10.99,10,Unknown,3,NO DEFAULT
68.0,25,259000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,20000.0,14.42,10,Y,2,NO DEFAULT
69.0,24,255000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,4,Unknown,2,NO DEFAULT
70.0,25,250000.0,RENT,2.0,MEDICAL,B,25000.0,13.49,10,Unknown,4,NO DEFAULT
73.0,21,12000.0,OWN,6.0,EDUCATION,B,3000.0,13.61,1,Y,3,DEFAULT
74.0,23,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,10,Unknown,2,NO DEFAULT
75.0,26,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,10,Unknown,3,NO DEFAULT
76.0,26,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,6,N,3,DEFAULT
77.0,22,88000.0,RENT,6.0,VENTURE,A,28000.0,9.91,10,Unknown,3,NO DEFAULT
78.0,21,12000.0,OWN,0.0,PERSONAL,B,4200.0,13.48,1,Y,4,DEFAULT
79.0,22,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,2,N,2,DEFAULT
80.0,24,83004.0,RENT,0.0,VENTURE,C,28000.0,15.99,10,Y,4,DEFAULT
81.0,24,250000.0,RENT,2.0,EDUCATION,B,18000.0,12.98,10,Y,3,NO DEFAULT
82.0,144,250000.0,RENT,4.0,VENTURE,B,4800.0,13.57,4,Unknown,3,NO DEFAULT
83.0,25,100000.0,RENT,5.0,DEBTCONSOLIDATION,A,28000.0,12.69,10,Unknown,3,NO DEFAULT
84.0,26,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,10,Unknown,2,NO DEFAULT
87.0,23,151200.0,RENT,7.0,DEBTCONSOLIDATION,A,28000.0,11.11,10,Unknown,2,NO DEFAULT
89.0,21,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3250.0,15.68,1,Y,3,DEFAULT
90.0,22,70000.0,RENT,4.0,EDUCATION,B,27500.0,13.06,10,Y,3,DEFAULT
92.0,26,73200.0,RENT,5.0,VENTURE,C,27050.0,15.62,10,Y,2,DEFAULT
93.0,24,83000.0,RENT,5.0,PERSONAL,B,27000.0,13.49,10,Y,2,DEFAULT
95.0,23,62500.0,RENT,7.0,MEDICAL,A,26000.0,11.71,10,Unknown,2,NO DEFAULT
96.0,23,120000.0,RENT,1.0,EDUCATION,A,25600.0,12.69,10,Unknown,3,NO DEFAULT
97.0,24,12360.0,OWN,2.0,MEDICAL,B,1600.0,13.57,4,Unknown,3,NO DEFAULT
98.0,22,60000.0,RENT,0.0,VENTURE,A,25475.0,10.99,10,Unknown,3,NO DEFAULT
99.0,25,234000.0,MORTGAGE,3.0,MEDICAL,B,20000.0,14.27,10,Y,4,NO DEFAULT
100.0,24,234000.0,OWN,8.0,HOMEIMPROVEMENT,A,20000.0,8.88,10,Unknown,4,NO DEFAULT
101.0,26,234000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,21600.0,12.18,10,Unknown,3,NO DEFAULT
102.0,25,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,11900.0,14.42,10,Y,3,DEFAULT
103.0,26,232500.0,MORTGAGE,0.0,MEDICAL,B,25000.0,14.17,10,Y,2,NO DEFAULT
104.0,25,230000.0,MORTGAGE,5.0,MEDICAL,B,35000.0,13.99,10,Unknown,4,NO DEFAULT
105.0,23,83000.0,RENT,7.0,EDUCATION,A,25300.0,10.99,10,Unknown,3,NO DEFAULT
107.0,25,12600.0,OWN,3.0,PERSONAL,B,1750.0,13.61,5,Unknown,3,NO DEFAULT
108.0,21,42500.0,RENT,3.0,EDUCATION,B,25000.0,12.73,10,Y,3,DEFAULT
110.0,25,12816.0,OWN,0.0,DEBTCONSOLIDATION,B,3000.0,12.87,5,Y,4,DEFAULT
111.0,24,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,A,3650.0,9.91,4,N,3,DEFAULT
112.0,26,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,20000.0,11.49,10,Unknown,4,NO DEFAULT
113.0,25,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,D,30000.0,19.91,10,Y,2,NO DEFAULT
114.0,26,213000.0,MORTGAGE,6.0,EDUCATION,A,35000.0,10.65,10,N,2,DEFAULT
116.0,24,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500.0,11.83,4,N,4,DEFAULT
117.0,23,12996.0,OWN,0.0,DEBTCONSOLIDATION,B,2400.0,13.49,3,Y,2,DEFAULT
118.0,22,42000.0,RENT,6.0,MEDICAL,C,25000.0,14.59,10,Y,2,DEFAULT
119.0,26,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,10,N,4,DEFAULT
120.0,25,12996.0,OWN,1.0,MEDICAL,C,3600.0,14.59,5,N,3,DEFAULT
122.0,25,42360.0,RENT,1.0,EDUCATION,D,25000.0,16.35,10,Y,3,DEFAULT
123.0,21,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,10,N,2,DEFAULT
124.0,25,225000.0,MORTGAGE,0.0,VENTURE,E,25000.0,18.67,10,Unknown,2,NO DEFAULT
125.0,26,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,6,Unknown,4,NO DEFAULT
126.0,23,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,3,Unknown,2,NO DEFAULT
127.0,26,225000.0,MORTGAGE,2.0,VENTURE,A,25000.0,10.08,10,Unknown,2,NO DEFAULT
128.0,22,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,10,N,3,DEFAULT
129.0,23,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,10,Unknown,3,NO DEFAULT
130.0,25,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,10,N,2,DEFAULT
131.0,24,44000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,15.33,10,N,2,DEFAULT
132.0,23,50000.0,RENT,1.0,VENTURE,A,25000.0,11.83,10,Y,4,NO DEFAULT
133.0,22,50004.0,RENT,0.0,VENTURE,A,25000.0,10.36,10,Unknown,2,NO DEFAULT
134.0,22,50004.0,RENT,3.0,VENTURE,B,25000.0,12.23,10,N,3,DEFAULT
135.0,22,52000.0,RENT,2.0,EDUCATION,A,25000.0,11.11,10,Unknown,4,NO DEFAULT
136.0,23,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,3,N,4,DEFAULT
137.0,24,220000.0,MORTGAGE,1.0,EDUCATION,A,25000.0,11.58,10,Unknown,2,NO DEFAULT
138.0,23,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,10,Unknown,3,NO DEFAULT
139.0,25,216000.0,MORTGAGE,2.0,EDUCATION,C,25000.0,16.07,10,Unknown,3,NO DEFAULT
140.0,26,216000.0,MORTGAGE,10.0,EDUCATION,B,20000.0,14.22,10,Y,2,NO DEFAULT
141.0,23,215000.0,MORTGAGE,7.0,MEDICAL,B,35000.0,14.79,10,Y,3,NO DEFAULT
142.0,26,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,10,Unknown,2,NO DEFAULT
143.0,23,52000.0,RENT,1.0,PERSONAL,B,25000.0,13.22,10,N,2,DEFAULT
144.0,26,46000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,11.86,10,N,4,DEFAULT
145.0,22,53000.0,RENT,5.0,EDUCATION,B,25000.0,13.43,10,Y,4,DEFAULT
146.0,26,47000.0,RENT,0.0,HOMEIMPROVEMENT,C,25000.0,15.28,10,Y,2,DEFAULT
147.0,23,47000.0,RENT,1.0,VENTURE,D,25000.0,17.93,10,N,2,DEFAULT
148.0,23,13200.0,MORTGAGE,2.0,EDUCATION,A,1400.0,9.25,3,Unknown,4,NO DEFAULT
149.0,21,13200.0,OWN,0.0,VENTURE,B,4500.0,12.98,1,N,4,DEFAULT
150.0,22,210000.0,MORTGAGE,6.0,VENTURE,A,16000.0,10.62,10,Unknown,4,NO DEFAULT
151.0,26,210000.0,OWN,10.0,PERSONAL,A,22000.0,11.83,10,Unknown,4,NO DEFAULT
152.0,26,48000.0,RENT,5.0,VENTURE,E,25000.0,18.43,10,N,2,DEFAULT
155.0,23,55000.0,RENT,4.0,EDUCATION,A,25000.0,11.36,10,Unknown,3,NO DEFAULT
156.0,23,55000.0,RENT,4.0,EDUCATION,C,25000.0,15.65,10,Y,3,DEFAULT
157.0,24,55164.0,RENT,8.0,PERSONAL,B,25000.0,13.22,10,Y,4,DEFAULT
158.0,26,56000.0,RENT,4.0,DEBTCONSOLIDATION,B,25000.0,12.87,10,N,2,DEFAULT
159.0,24,203500.0,OWN,8.0,MEDICAL,B,20000.0,13.04,10,Unknown,3,NO DEFAULT
160.0,23,190000.0,MORTGAGE,5.0,EDUCATION,E,22000.0,17.58,10,Y,3,DEFAULT
161.0,23,13920.0,OWN,2.0,PERSONAL,D,7750.0,17.04,3,N,4,DEFAULT
162.0,24,60000.0,RENT,0.0,PERSONAL,A,25000.0,10.99,10,N,3,DEFAULT
163.0,24,60000.0,RENT,2.0,PERSONAL,A,25000.0,11.11,10,N,3,DEFAULT
164.0,26,54000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,14.83,10,Y,2,DEFAULT
166.0,24,200000.0,RENT,8.0,MEDICAL,A,12000.0,12.69,10,Unknown,2,NO DEFAULT
167.0,24,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,12000.0,13.49,10,Unknown,2,NO DEFAULT
168.0,21,200000.0,MORTGAGE,5.0,EDUCATION,B,16000.0,14.65,10,Unknown,4,NO DEFAULT
169.0,25,54000.0,RENT,3.0,HOMEIMPROVEMENT,D,25000.0,16.82,10,N,4,DEFAULT
170.0,23,60000.0,RENT,3.0,PERSONAL,B,25000.0,12.73,10,N,3,DEFAULT
171.0,23,60000.0,RENT,7.0,PERSONAL,A,25000.0,10.25,10,N,4,DEFAULT
172.0,21,60000.0,RENT,6.0,EDUCATION,A,25000.0,10.99,10,N,4,DEFAULT
173.0,25,61959.0,RENT,9.0,MEDICAL,B,25000.0,12.73,10,N,2,DEFAULT
174.0,22,56400.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,14.96,10,Y,3,DEFAULT
176.0,21,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,25000.0,13.99,10,Unknown,2,NO DEFAULT
177.0,24,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,10,Y,4,NO DEFAULT
178.0,26,200000.0,MORTGAGE,4.0,EDUCATION,B,15000.0,14.79,10,Unknown,3,NO DEFAULT
179.0,25,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,15500.0,11.99,10,Unknown,2,NO DEFAULT
180.0,24,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,4,Unknown,4,NO DEFAULT
181.0,24,66000.0,RENT,3.0,EDUCATION,A,25000.0,9.91,10,N,2,DEFAULT
182.0,22,66000.0,RENT,6.0,EDUCATION,B,25000.0,13.06,10,Y,3,DEFAULT
183.0,22,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,2,Unknown,4,NO DEFAULT
184.0,144,200000.0,MORTGAGE,4.0,EDUCATION,A,6000.0,11.86,4,Unknown,2,NO DEFAULT
185.0,25,200000.0,RENT,5.0,EDUCATION,C,18000.0,16.32,10,Unknown,3,NO DEFAULT
186.0,25,200000.0,MORTGAGE,2.0,VENTURE,A,12000.0,10.38,10,Unknown,2,NO DEFAULT
187.0,25,200000.0,MORTGAGE,9.0,PERSONAL,B,23050.0,14.35,10,Unknown,3,NO DEFAULT
191.0,26,66996.0,RENT,10.0,PERSONAL,C,25000.0,15.21,10,Y,2,DEFAULT
192.0,23,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,10,N,4,DEFAULT
193.0,24,67000.0,RENT,2.0,VENTURE,A,25000.0,10.99,10,N,3,DEFAULT
194.0,24,68000.0,RENT,5.0,PERSONAL,C,25000.0,14.09,10,Y,3,DEFAULT
195.0,25,69000.0,RENT,9.0,PERSONAL,C,25000.0,17.49,10,N,2,DEFAULT
196.0,25,200000.0,MORTGAGE,0.0,EDUCATION,A,12000.0,11.48,10,Unknown,3,NO DEFAULT
197.0,26,188000.0,MORTGAGE,10.0,VENTURE,D,20000.0,17.74,10,N,2,DEFAULT
198.0,26,200000.0,MORTGAGE,4.0,PERSONAL,B,3000.0,13.92,6,Unknown,3,NO DEFAULT
199.0,25,69996.0,RENT,9.0,EDUCATION,C,25000.0,15.21,10,N,3,DEFAULT
200.0,22,14400.0,OWN,2.0,MEDICAL,A,4000.0,10.99,2,Y,3,DEFAULT
201.0,24,70000.0,RENT,3.0,EDUCATION,A,25000.0,11.86,10,N,4,DEFAULT
202.0,24,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,4,N,3,DEFAULT
203.0,24,56100.0,RENT,7.0,MEDICAL,C,25000.0,16.49,10,N,4,DEFAULT
204.0,25,66000.0,RENT,9.0,VENTURE,C,25000.0,15.33,10,Y,2,DEFAULT
205.0,26,66000.0,RENT,3.0,HOMEIMPROVEMENT,A,25000.0,11.58,10,N,4,DEFAULT
206.0,25,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,5,N,2,DEFAULT
207.0,25,72612.0,RENT,9.0,MEDICAL,B,25000.0,13.11,10,N,2,DEFAULT
208.0,23,74000.0,RENT,3.0,MEDICAL,A,25000.0,10.36,10,N,3,DEFAULT
209.0,25,75000.0,RENT,9.0,DEBTCONSOLIDATION,A,25000.0,10.36,10,Y,2,DEFAULT
211.0,21,192000.0,MORTGAGE,123.0,VENTURE,A,20000.0,6.54,10,Unknown,4,NO DEFAULT
212.0,25,191000.0,MORTGAGE,1.0,MEDICAL,A,10000.0,12.53,5,Unknown,4,NO DEFAULT
215.0,24,75000.0,RENT,4.0,EDUCATION,A,25000.0,10.25,10,N,4,DEFAULT
216.0,22,71000.0,RENT,1.0,EDUCATION,C,25000.0,15.95,10,Y,4,DEFAULT
217.0,26,190000.0,MORTGAGE,3.0,VENTURE,A,20000.0,12.18,10,Unknown,4,NO DEFAULT
218.0,23,189996.0,OWN,0.0,PERSONAL,A,24000.0,11.83,10,Unknown,3,NO DEFAULT
220.0,23,78000.0,RENT,1.0,VENTURE,A,25000.0,10.62,10,N,3,DEFAULT
221.0,23,78504.0,RENT,7.0,VENTURE,A,25000.0,10.74,10,N,3,DEFAULT
222.0,25,186000.0,OWN,9.0,VENTURE,A,10000.0,10.25,5,Unknown,4,NO DEFAULT
224.0,25,185000.0,RENT,6.0,VENTURE,B,15000.0,15.27,10,Unknown,2,NO DEFAULT
225.0,24,62050.0,RENT,8.0,MEDICAL,C,25000.0,15.33,10,Y,2,DEFAULT
226.0,23,79416.0,RENT,7.0,VENTURE,C,25000.0,15.21,10,Y,2,DEFAULT
227.0,21,14400.0,OWN,4.0,VENTURE,B,6250.0,14.72,1,N,2,DEFAULT
228.0,24,79631.0,RENT,8.0,PERSONAL,C,25000.0,15.7,10,Y,2,DEFAULT
229.0,24,79632.0,RENT,0.0,EDUCATION,B,25000.0,13.35,10,N,4,DEFAULT
231.0,24,80000.0,RENT,6.0,EDUCATION,A,25000.0,6.62,10,N,2,DEFAULT
232.0,26,80000.0,RENT,5.0,DEBTCONSOLIDATION,B,25000.0,13.61,10,N,4,DEFAULT
233.0,22,185000.0,RENT,4.0,MEDICAL,A,25000.0,11.36,10,Unknown,2,NO DEFAULT
234.0,26,185000.0,OWN,10.0,PERSONAL,A,5000.0,7.68,6,Unknown,2,NO DEFAULT
235.0,24,184992.0,RENT,7.0,HOMEIMPROVEMENT,C,22000.0,14.46,10,Y,4,NO DEFAULT
236.0,23,184000.0,OWN,5.0,EDUCATION,A,2500.0,11.83,3,Unknown,2,NO DEFAULT
237.0,24,172000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,B,20000.0,13.47,10,Y,4,DEFAULT
238.0,24,183000.0,MORTGAGE,2.0,MEDICAL,A,20000.0,11.49,10,Unknown,3,NO DEFAULT
240.0,25,182952.0,MORTGAGE,9.0,PERSONAL,A,15000.0,6.03,10,Unknown,3,NO DEFAULT
241.0,23,74004.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,16.35,10,N,4,DEFAULT
243.0,25,81000.0,RENT,5.0,DEBTCONSOLIDATION,A,25000.0,7.29,10,Y,3,DEFAULT
244.0,23,81600.0,RENT,1.0,MEDICAL,A,25000.0,11.36,10,N,3,DEFAULT
245.0,24,82000.0,RENT,8.0,VENTURE,A,25000.0,10.25,10,Unknown,2,NO DEFAULT
246.0,24,83000.0,RENT,5.0,EDUCATION,A,25000.0,11.12,10,Unknown,3,NO DEFAULT
247.0,24,83000.0,RENT,5.0,PERSONAL,C,25000.0,12.92,10,Y,3,NO DEFAULT
248.0,24,180000.0,RENT,8.0,EDUCATION,D,18000.0,18.64,10,Y,4,NO DEFAULT
249.0,23,180000.0,MORTGAGE,8.0,PERSONAL,A,28000.0,7.51,10,Unknown,3,NO DEFAULT
250.0,23,14400.0,OWN,2.0,HOMEIMPROVEMENT,D,4000.0,16.7,3,N,2,DEFAULT
251.0,22,14400.0,OWN,0.0,PERSONAL,A,2100.0,11.14,2,Unknown,4,NO DEFAULT
252.0,22,84500.0,RENT,6.0,PERSONAL,E,25000.0,18.3,10,Unknown,4,NO DEFAULT
253.0,24,85000.0,RENT,5.0,MEDICAL,A,25000.0,10.62,10,Unknown,4,NO DEFAULT
254.0,24,180000.0,MORTGAGE,7.0,VENTURE,A,14000.0,11.99,10,Unknown,2,NO DEFAULT
255.0,26,180000.0,MORTGAGE,2.0,VENTURE,A,12000.0,9.63,10,Unknown,4,NO DEFAULT
256.0,25,142800.0,MORTGAGE,9.0,MEDICAL,E,10000.0,18.25,5,N,4,DEFAULT
258.0,24,87000.0,RENT,8.0,HOMEIMPROVEMENT,C,25000.0,14.84,10,Unknown,3,NO DEFAULT
259.0,24,75000.0,RENT,0.0,VENTURE,D,25000.0,14.7,10,Y,3,DEFAULT
260.0,23,76000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,16.02,10,N,4,DEFAULT
261.0,23,66215.0,RENT,1.0,MEDICAL,C,25000.0,15.37,10,Y,2,DEFAULT
262.0,25,90000.0,RENT,9.0,MEDICAL,A,25000.0,10.99,10,Unknown,4,NO DEFAULT
263.0,21,15000.0,OWN,0.0,HOMEIMPROVEMENT,A,6200.0,7.9,1,N,2,DEFAULT
264.0,26,180000.0,OWN,2.0,PERSONAL,A,25000.0,10.99,10,Unknown,4,NO DEFAULT
265.0,24,180000.0,OWN,8.0,EDUCATION,A,21000.0,11.48,10,Unknown,3,NO DEFAULT
266.0,25,180000.0,OWN,9.0,MEDICAL,B,20000.0,14.26,10,Y,4,NO DEFAULT
267.0,26,180000.0,OWN,0.0,HOMEIMPROVEMENT,A,10000.0,8.0,6,Unknown,4,NO DEFAULT
268.0,25,180000.0,MORTGAGE,3.0,VENTURE,A,9950.0,11.26,5,Unknown,2,NO DEFAULT
270.0,23,78000.0,RENT,2.0,VENTURE,C,25000.0,16.32,10,Y,3,DEFAULT
271.0,25,66300.0,RENT,3.0,MEDICAL,D,25000.0,17.93,10,Y,4,DEFAULT
272.0,23,90000.0,RENT,0.0,DEBTCONSOLIDATION,A,25000.0,11.36,10,Y,3,NO DEFAULT
273.0,24,79000.0,RENT,9.0,DEBTCONSOLIDATION,C,25000.0,14.96,10,Y,4,DEFAULT
274.0,24,91800.0,RENT,4.0,PERSONAL,B,25000.0,13.43,10,Y,3,NO DEFAULT
275.0,25,92000.0,RENT,6.0,HOMEIMPROVEMENT,A,25000.0,12.69,10,Unknown,3,NO DEFAULT
276.0,24,92000.0,RENT,1.0,VENTURE,B,25000.0,12.73,10,Y,4,NO DEFAULT
277.0,23,93600.0,RENT,3.0,VENTURE,C,25000.0,15.21,10,Unknown,4,NO DEFAULT
278.0,23,15000.0,MORTGAGE,1.0,MEDICAL,B,1750.0,12.68,3,Y,3,NO DEFAULT
279.0,23,70550.0,RENT,3.0,MEDICAL,E,25000.0,19.04,10,Y,4,DEFAULT
280.0,25,83800.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,15.95,10,Y,3,DEFAULT
281.0,26,175000.0,MORTGAGE,3.0,VENTURE,A,2600.0,8.9,6,Unknown,4,NO DEFAULT
282.0,25,175000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000.0,7.9,5,Unknown,2,NO DEFAULT
284.0,23,175000.0,MORTGAGE,8.0,PERSONAL,A,21000.0,11.99,10,Unknown,3,NO DEFAULT
285.0,23,15000.0,OWN,4.0,DEBTCONSOLIDATION,B,4000.0,13.98,3,N,4,DEFAULT
